Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Man on Fire	crime, drama, thriller	2004	Tony Scott	7.7	146	http://www.imdb.com/title/tt0328107/
Ocean's Twelve	crime, thriller	2004	Steven Soderbergh	6.3	125	http://www.imdb.com/title/tt0349903/
Saw	crime, horror, mystery	2004	James Wan	7.7	103	http://www.imdb.com/title/tt0387564/
White Chicks	crime, comedy	2004	Keenen Ivory Wayans	5	109	http://www.imdb.com/title/tt0381707/
Crank	action, crime, thriller	2006	Neveldine, Taylor	7	88	http://www.imdb.com/title/tt0479884/
Lucky Number Slevin	crime, drama, mystery, thriller	2006	Paul McGuigan	7.7	110	http://www.imdb.com/title/tt0425210/
Gone Baby Gone	crime, drama, mystery, thriller	2007	Ben Affleck	7.7	114	http://www.imdb.com/title/tt0452623/
Ocean's Thirteen	crime, thriller	2007	Steven Soderbergh	6.8	122	http://www.imdb.com/title/tt0496806/
21	crime, drama	2008	Robert Luketic	6.7	123	http://www.imdb.com/title/tt0478087/
The Last House on the Left	crime, drama, thriller	2009	Dennis Iliadis	6.5	110	http://www.imdb.com/title/tt0844708/
Faster	action, crime, drama, thriller	2010	George Tillman Jr.	6.4	98	http://www.imdb.com/title/tt1433108/
The Mechanic	action, crime, thriller	2011	Simon West	6.5	93	http://www.imdb.com/title/tt0472399/
30 Minutes or Less	action, comedy, crime	2011	Ruben Fleischer	6.1	83	http://www.imdb.com/title/tt1622547/
The Factory	crime, mystery, thriller	2012	Morgan O'Neill	5.4	108	http://www.imdb.com/title/tt1132285/
The Sweeney	action, crime, drama	2012	Nick Love	6.1	112	http://www.imdb.com/title/tt0857190/
Get the Gringo	action, crime, drama, thriller	2012	Adrian Grünberg	7	96	http://www.imdb.com/title/tt1567609/
Kiss Kiss Bang Bang	action, comedy, crime, mystery, thriller	2005	Shane Black	7.7	103	http://www.imdb.com/title/tt0373469/
Kids	crime, drama	1995	Larry Clark	6.8	91	http://www.imdb.com/title/tt0113540/
Red 2	action, comedy, crime, thriller	2013	Dean Parisot			http://www.imdb.com/title/tt1821694/
Police Academy	comedy, crime	1984	Hugh Wilson	6.5	96	http://www.imdb.com/title/tt0087928/
Teenage Mutant Ninja Turtles	action, adventure, comedy, crime, drama, family, sci_fi	1990	Steve Barron	6.5	93	http://www.imdb.com/title/tt0100758/
Point Break	action, crime, thriller	1991	Kathryn Bigelow	7	120	http://www.imdb.com/title/tt0102685/
My Cousin Vinny	comedy, crime	1992	Jonathan Lynn	7.4	120	http://www.imdb.com/title/tt0104952/
Natural Born Killers	crime, drama, thriller	1994	Oliver Stone	7.2	118	http://www.imdb.com/title/tt0110632/
Sleepers	crime, drama, thriller	1996	Barry Levinson	7.4	147	http://www.imdb.com/title/tt0117665/
Austin Powers: International Man of Mystery	comedy, crime	1997	Jay Roach	7	94	http://www.imdb.com/title/tt0118655/
Con Air	action, crime, thriller	1997	Simon West	6.7	115	http://www.imdb.com/title/tt0118880/
Donnie Brasco	biography, crime, drama, thriller	1997	Mike Newell	7.8	127	http://www.imdb.com/title/tt0119008/
Face/Off	action, crime, thriller	1997	John Woo	7.3	138	http://www.imdb.com/title/tt0119094/
Tomorrow Never Dies	action, adventure, crime, thriller	1997	Roger Spottiswoode	6.4	119	http://www.imdb.com/title/tt0120347/
Wild Things	crime, mystery, thriller	1998	John McNaughton	6.5	108	http://www.imdb.com/title/tt0120890/
Rush Hour	action, comedy, thriller, crime	1998	Brett Ratner	6.8	98	http://www.imdb.com/title/tt0120812/
The Iron Giant	animation, action, adventure, comedy, crime, family, sci_fi	1999	Brad Bird	7.9	86	http://www.imdb.com/title/tt0129167/
The World Is Not Enough	action, adventure, crime, thriller	1999	Michael Apted	6.3	128	http://www.imdb.com/title/tt0143145/
Traffic	crime, drama, thriller	2000	Steven Soderbergh	7.7	147	http://www.imdb.com/title/tt0181865/
Swordfish	action, crime, thriller	2001	Dominic Sena	6.4	99	http://www.imdb.com/title/tt0244244/
Austin Powers in Goldmember	action, comedy, crime	2002	Jay Roach	6.1	94	http://www.imdb.com/title/tt0295178/
Insomnia	crime, mystery, thriller	2002	Christopher Nolan	7.2	118	http://www.imdb.com/title/tt0278504/
The Transporter	action, crime, thriller	2002	Louis Leterrier, Cory Yuen	6.7	92	http://www.imdb.com/title/tt0293662/
Bad Boys II	action, comedy, crime, thriller	2003	Michael Bay	6.3	147	http://www.imdb.com/title/tt0172156/
S.W.A.T.	action, crime, thriller	2003	Clark Johnson	5.9	117	http://www.imdb.com/title/tt0257076/
The Punisher	action, crime, drama, thriller	2004	Jonathan Hensleigh	6.3	124	http://www.imdb.com/title/tt0330793/
The Longest Yard	comedy, crime, sport	2005	Peter Segal	6.2	113	http://www.imdb.com/title/tt0398165/
xXx: State of the Union	action, crime, adventure, thriller	2005	Lee Tamahori	4.1	101	http://www.imdb.com/title/tt0329774/
Lord of War	crime, drama, thriller	2005	Andrew Niccol	7.6	122	http://www.imdb.com/title/tt0399295/
3:10 to Yuma	action, crime, drama, western	2007	James Mangold	7.8	122	http://www.imdb.com/title/tt0381849/
Fracture	crime, drama, mystery, thriller	2007	Gregory Hoblit	7.1	113	http://www.imdb.com/title/tt0488120/
Hannibal Rising	crime, drama, thriller	2007	Peter Webber	6.1	121	http://www.imdb.com/title/tt0367959/
Michael Clayton	crime, drama, mystery, thriller	2007	Tony Gilroy	7.3	119	http://www.imdb.com/title/tt0465538/
Smokin' Aces	action, crime, drama, thriller	2006	Joe Carnahan	6.6	109	http://www.imdb.com/title/tt0475394/
Burn After Reading	comedy, crime, drama	2008	Ethan Coen, Joel Coen	7	96	http://www.imdb.com/title/tt0887883/
Max Payne	action, crime, drama, mystery, thriller	2008	John Moore	5.3	100	http://www.imdb.com/title/tt0467197/
The Collector	crime, horror, thriller	2009	Marcus Dunstan	6.3	90	http://www.imdb.com/title/tt0844479/
The American	crime, drama, thriller	2010	Anton Corbijn	6.4	105	http://www.imdb.com/title/tt1440728/
Small Apartments	comedy, crime, drama	2012	Jonas Åkerlund	5.9	96	http://www.imdb.com/title/tt1272886/
Machine Gun Preacher	action, biography, crime, drama	2011	Marc Forster	6.7	129	http://www.imdb.com/title/tt1586752/
Blitz	action, crime, thriller	2011	Elliott Lester	6.1	97	http://www.imdb.com/title/tt1297919/
Bernie	comedy, crime, drama	2011	Richard Linklater	6.7	99	http://www.imdb.com/title/tt1704573/
I Spit on Your Grave	crime, horror, thriller	2010	Steven R. Monroe	6.2	108	http://www.imdb.com/title/tt1242432/
The Clinic	crime, horror, mystery, thriller	2010	James Rabbitts	5.3	94	http://www.imdb.com/title/tt1345772/
The Boondock Saints II: All Saints Day	action, comedy, crime, drama, thriller	2009	Troy Duffy	6.3	118	http://www.imdb.com/title/tt1300851/
Green Street Hooligans	crime, drama, sport	2005	Lexi Alexander	7.5	109	http://www.imdb.com/title/tt0385002/
Layer Cake	crime, drama, thriller	2004	Matthew Vaughn	7.3	105	http://www.imdb.com/title/tt0375912/
Hard Candy	crime, drama, thriller	2005	David Slade	7.1	104	http://www.imdb.com/title/tt0424136/
Chinatown	crime, drama, mystery, thriller	1974	Roman Polanski	8.4	130	http://www.imdb.com/title/tt0071315/
Kindergarten Cop	action, comedy, crime, thriller	1990	Ivan Reitman	5.9	111	http://www.imdb.com/title/tt0099938/
Batman Forever	action, adventure, fantasy	1995	Joel Schumacher	5.4	121	http://www.imdb.com/title/tt0112462/
Batman & Robin	action, crime, fantasy	1997	Joel Schumacher	3.6	125	http://www.imdb.com/title/tt0118688/
Austin Powers: The Spy Who Shagged Me	action, adventure, comedy, crime	1999	Jay Roach	6.6	95	http://www.imdb.com/title/tt0145660/
Charlie's Angels	action, adventure, comedy, crime, thriller	2000	McG	5.5	98	http://www.imdb.com/title/tt0160127/
Road to Perdition	crime, drama, thriller	2002	Sam Mendes	7.7	117	http://www.imdb.com/title/tt0257044/
Monster	biography, crime, drama	2003	Patty Jenkins	7.3	109	http://www.imdb.com/title/tt0340855/
Into the Blue	action, adventure, crime, thriller	2005	John Stockwell	5.7	110	http://www.imdb.com/title/tt0378109/
Alpha Dog	biography, crime, drama	2006	Nick Cassavetes	6.8	122	http://www.imdb.com/title/tt0426883/
Eastern Promises	crime, mystery, thriller	2007	David Cronenberg	7.7	100	http://www.imdb.com/title/tt0765443/
Rush Hour 3	action, comedy, crime, thriller	2007	Brett Ratner	6	91	http://www.imdb.com/title/tt0293564/
The Bank Job	crime, drama, thriller	2008	Roger Donaldson	7.3	111	http://www.imdb.com/title/tt0200465/
Lakeview Terrace	crime, drama, thriller	2008	Neil LaBute	6.1	110	http://www.imdb.com/title/tt0947802/
Transporter 3	action, adventure, crime, thriller	2008	Olivier Megaton	5.9	104	http://www.imdb.com/title/tt1129442/
The Taking of Pelham 1 2 3	action, crime, thriller	2009	Tony Scott	6.4	106	http://www.imdb.com/title/tt1111422/
Cop Out	action, comedy, crime	2010	Kevin Smith	5.6	107	http://www.imdb.com/title/tt1385867/
The Losers	action, crime, drama, mystery, thriller	2010	Sylvain White	6.3	97	http://www.imdb.com/title/tt0480255/
Takers	action, crime, thriller	2010	John Luessenhop	6	107	http://www.imdb.com/title/tt1135084/
Maniac	horror, thriller	2012	Franck Khalfoun	6.2	89	http://www.imdb.com/title/tt2103217/
Sushi Girl	crime, thriller	2012	Kern Saxton	5.7	98	http://www.imdb.com/title/tt1606339/
The Double	action, crime, drama, mystery, thriller	2011	Michael Brandt	5.9	98	http://www.imdb.com/title/tt1646980/
Shattered	crime, drama, thriller	2007	Mike Barker	6.6	95	http://www.imdb.com/title/tt0489664/
The Next Three Days	crime, drama, romance, thriller	2010	Paul Haggis	7.3	133	http://www.imdb.com/title/tt1458175/
Date Night	comedy, crime, romance, thriller	2010	Shawn Levy	6.3	88	http://www.imdb.com/title/tt1279935/
One for the Money	action, comedy, crime, romance, thriller	2012	Julie Anne Robinson	5.1	91	http://www.imdb.com/title/tt1598828/
Step Up	crime, drama, music, romance	2006	Anne Fletcher	6.2	104	http://www.imdb.com/title/tt0462590/
