Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Oblivion	action, adventure, sci_fi	2013	Joseph Kosinski	7.1	124	http://www.imdb.com/title/tt1483013/
Man of Steel	action, adventure, fantasy, sci_fi	2013	Zack Snyder		143	http://www.imdb.com/title/tt0770828/
Pacific Rim	action, adventure, sci_fi	2013	Guillermo del Toro			http://www.imdb.com/title/tt1663662/
The Hunger Games: Catching Fire	action, adventure, sci_fi, thriller	2013	Francis Lawrence			http://www.imdb.com/title/tt1951264/
The Host	action, adventure, romance, sci_fi, thriller	2013	Andrew Niccol	5.8	125	http://www.imdb.com/title/tt1517260/
The Wolverine	action, adventure, fantasy, sci_fi	2013	James Mangold			http://www.imdb.com/title/tt1430132/
Elysium	action, drama, sci_fi, thriller	2013	Neill Blomkamp			http://www.imdb.com/title/tt1535108/
After Earth	action, adventure, mystery, sci_fi	2013	M. Night Shyamalan	4.8	100	http://www.imdb.com/title/tt1815862/
Iron Man 3	action, adventure, sci_fi	2013	Shane Black	7.6	130	http://www.imdb.com/title/tt1300854/
Star Trek Into Darkness	action, adventure, sci_fi, thriller	2013	J.J. Abrams	8.2	132	http://www.imdb.com/title/tt1408101/
Logan's Run	action, sci_fi	1976	Michael Anderson	6.8	119	http://www.imdb.com/title/tt0074812/
Star Wars	action, adventure, fantasy, sci_fi	1977	George Lucas	8.8	121	http://www.imdb.com/title/tt0076759/
Superman	action, adventure, sci_fi	1978	Richard Donner	7.3	143	http://www.imdb.com/title/tt0078346/
Alien	horror, sci_fi	1979	Ridley Scott	8.5	117	http://www.imdb.com/title/tt0078748/
Upside Down	drama, fantasy, romance, sci_fi	2012	Juan Diego Solanas	6.3	100	http://www.imdb.com/title/tt1374992/
Airplane II: The Sequel	comedy, romance, sci_fi	1982	Ken Finkleman	5.9	85	http://www.imdb.com/title/tt0083530/
Blue Thunder	action, crime, drama, sci_fi, thriller	1983	John Badham	6.1	109	http://www.imdb.com/title/tt0085255/
The Entity	biography, horror, sci_fi, thriller	1982	Sidney J. Furie	6.4	125	http://www.imdb.com/title/tt0082334/
The Man with Two Brains	comedy, romance, sci_fi	1983	Carl Reiner	6.2	93	http://www.imdb.com/title/tt0085894/
The Right Stuff	adventure, drama, history, sci_fi	1983	Philip Kaufman	7.9	193	http://www.imdb.com/title/tt0086197/
2010	sci_fi, thriller	1984	Peter Hyams	6.7	116	http://www.imdb.com/title/tt0086837/
The Last Starfighter	action, adventure, family, sci_fi	1984	Nick Castle	6.5	101	http://www.imdb.com/title/tt0087597/
Night of the Comet	comedy, horror, sci_fi	1984	Thom Eberhardt	6.2	95	http://www.imdb.com/title/tt0087799/
Starman	adventure, drama, romance, sci_fi	1984	John Carpenter	6.9	115	http://www.imdb.com/title/tt0088172/
D.A.R.Y.L.	family, sci_fi	1985	Simon Wincer	5.8	99	http://www.imdb.com/title/tt0088979/
Enemy Mine	action, adventure, drama, sci_fi	1985	Wolfgang Petersen	6.7	108	http://www.imdb.com/title/tt0089092/
My Science Project	action, adventure, comedy, sci_fi	1985	Jonathan R. Betuel	5.6	94	http://www.imdb.com/title/tt0089652/
Real Genius	comedy, romance, sci_fi	1985	Martha Coolidge	6.8	108	http://www.imdb.com/title/tt0089886/
The Return of the Living Dead	comedy, horror, sci_fi	1985	Dan O'Bannon	7.2	91	http://www.imdb.com/title/tt0089907/
Critters	action, comedy, horror, sci_fi, thriller	1986	Stephen Herek	5.8	82	http://www.imdb.com/title/tt0090887/
