Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Two Mules for Sister Sara	adventure, comedy, war, western	1970	Don Siegel	6.9	116	http://www.imdb.com/title/tt0065134/
The Thin Red Line	war, drama	1964	Andrew Marton	6.7	99	http://www.imdb.com/title/tt0058648/
The Guns of Navarone	action, adventure, drama, war	1961	J. Lee Thompson	7.6	158	http://www.imdb.com/title/tt0054953/
The Longest Day	action, drama, history, war	1962	Ken Annakin, Andrew Marton	7.8	178	http://www.imdb.com/title/tt0056197/
The Great Escape	adventure, drama, history, thriller, war	1963	John Sturges	8.3	172	http://www.imdb.com/title/tt0057115/
Ivan's Childhood	drama, war	1962	Andrei Tarkovsky	8	95	http://www.imdb.com/title/tt0056111/
The Manchurian Candidate	drama, mystery, romance, thriller, war	1962	John Frankenheimer	8.1	126	http://www.imdb.com/title/tt0056218/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	comedy, war	1964	Stanley Kubrick	8.6	95	http://www.imdb.com/title/tt0057012/
The Horse Soldiers	adventure, war, western	1959	John Ford	7	115	http://www.imdb.com/title/tt0052902/
To Appomattox	biography, drama, history, war	2013				http://www.imdb.com/title/tt2032276/
El Cid	adventure, biography, drama, history, romance, war	1961	Anthony Mann	7.2	182	http://www.imdb.com/title/tt0054847/
From Here to Eternity	drama, romance, war	1953	Fred Zinnemann	7.8	118	http://www.imdb.com/title/tt0045793/
Stalag 17	comedy, drama, thriller, war	1953	Billy Wilder	8.1	120	http://www.imdb.com/title/tt0046359/
The Diary of Anne Frank	biography, drama, history, war	1959	George Stevens	7.4	180	http://www.imdb.com/title/tt0052738/
The Bridge on the River Kwai	adventure, drama, history, war	1957	David Lean	8.3	161	http://www.imdb.com/title/tt0050212/
The 4th Reich	action, horror, war	2013	Shaun Robert Smith		97	http://www.imdb.com/title/tt1456940/
Lawrence of Arabia	adventure, biography, drama, history, war	1962	David Lean	8.4	216	http://www.imdb.com/title/tt0056172/
The African Queen	adventure, romance, war	1951	John Huston	8	105	http://www.imdb.com/title/tt0043265/
Paths of Glory	drama, war	1957	Stanley Kubrick	8.5	88	http://www.imdb.com/title/tt0050825/
Von Ryan's Express	action, adventure, war	1965	Mark Robson	7.1	117	http://www.imdb.com/title/tt0059885/
Sahara	action, war	1995	Brian Trenchard-Smith	6.5	106	http://www.imdb.com/title/tt0114324/
The Beguiled	drama, romance, war, western	1971	Donald Siegel	7.1	105	http://www.imdb.com/title/tt0066819/
633 Squadron	war, drama	1964	Walter E. Grauman	6.3	102	http://www.imdb.com/title/tt0057811/
Walking with the Enemy	action, drama, history, romance, war	2013	Mark Schmidt			http://www.imdb.com/title/tt1515208/
Tomorrow, When the War Began	action, adventure, war	2010	Stuart Beattie	6.1	103	http://www.imdb.com/title/tt1456941/
Coriolanus	drama, thriller, war	2011	Ralph Fiennes	6.1	123	http://www.imdb.com/title/tt1372686/
Centurion	action, adventure, drama, history, thriller, war	2010	Neil Marshall	6.4	97	http://www.imdb.com/title/tt1020558/
Love and Honor	drama, romance, war	2013	Danny Mooney	5.3	100	http://www.imdb.com/title/tt1976989/
Saints and Soldiers: Airborne Creed	war	2012	Ryan Little	5.4	94	http://www.imdb.com/title/tt2082415/
The Road to Freedom	adventure, drama, history, war	2011	Brendan Moriarty	4.3	93	http://www.imdb.com/title/tt1469387/
Emperor	drama, history, war	2012	Peter Webber	6.3	105	http://www.imdb.com/title/tt2103264/
The Wind That Shakes the Barley	drama, history, war	2006	Ken Loach	7.5	127	http://www.imdb.com/title/tt0460989/
5 Days of War	action, drama, war	2011	Renny Harlin	5.6	113	http://www.imdb.com/title/tt1486193/
Bent	drama, history, romance, war	1997	Sean Mathias	7.1	105	http://www.imdb.com/title/tt0118698/
The Hunting Party	adventure, comedy, drama, thriller, war	2007	Richard Shepard	6.8	101	http://www.imdb.com/title/tt0455782/
There Be Dragons	biography, drama, war	2011	Roland Joffé	5.6	122	http://www.imdb.com/title/tt1316616/
Attila	action, adventure, biography, drama, history, romance, war	2001	Dick Lowry	6.6	177	http://www.imdb.com/title/tt0259127/
Sniper: Reloaded	action, drama, thriller, war	2011	Claudio Fäh	5.1	91	http://www.imdb.com/title/tt1571243/
Captain America	action, fantasy, sci_fi, thriller, war	1990	Albert Pyun	3	97	http://www.imdb.com/title/tt0103923/
Goya's Ghosts	biography, drama, war	2006	Milos Forman	6.8	113	http://www.imdb.com/title/tt0455957/
The Inglorious Bastards	action, adventure, comedy, drama, war	1978	Enzo G. Castellari	6.5	99	http://www.imdb.com/title/tt0076584/
Hitler: The Rise of Evil	biography, drama, history, war	2003	Christian Duguay	7.2	130	http://www.imdb.com/title/tt0346293/
The Lucky Ones	comedy, drama, war	2008	Neil Burger	7	115	http://www.imdb.com/title/tt0981072/
Head in the Clouds	drama, romance, war	2004	John Duigan	6.3	132	http://www.imdb.com/title/tt0338097/
Triage	drama, mystery, war	2009	Danis Tanovic	6.4	99	http://www.imdb.com/title/tt1217070/
Seraphim Falls	action, drama, thriller, war, western	2006	David Von Ancken	6.7	115	http://www.imdb.com/title/tt0479537/
Kingdom of Dust	drama, war	2011	Heath Jones	2.4		http://www.imdb.com/title/tt1613873/
Glorious 39	drama, history, thriller, war	2009	Stephen Poliakoff	6.3	129	http://www.imdb.com/title/tt1319694/
Salvador	drama, history, thriller, war	1986	Oliver Stone	7.4	122	http://www.imdb.com/title/tt0091886/
Bless Me, Ultima	drama, war	2013	Carl Franklin	6.7	106	http://www.imdb.com/title/tt1390398/
Kundun	biography, drama, history, war	1997	Martin Scorsese	6.9	134	http://www.imdb.com/title/tt0119485/
The Devil's Arithmetic	drama, fantasy, war	1999	Donna Deitch	6.2	95	http://www.imdb.com/title/tt0179148/
Good	drama, romance, war	2008	Vicente Amorim	6.1	96	http://www.imdb.com/title/tt0436364/
The Man Who Cried	drama, music, romance, war	2000	Sally Potter	6	100	http://www.imdb.com/title/tt0206917/
Bloody Sunday	drama, history, war	2002	Paul Greengrass	7.7	107	http://www.imdb.com/title/tt0280491/
Eichmann	biography, drama, history, war	2007	Robert Young	5.9	96	http://www.imdb.com/title/tt0901481/
Ilsa: She Wolf of the SS	horror, war	1975	Don Edmonds	5.1	96	http://www.imdb.com/title/tt0071650/
Our Girl	drama, war	2013	David Drury	6.5	90	http://www.imdb.com/title/tt2485988/
Revolution	adventure, drama, history, war	1985	Hugh Hudson	4.9	126	http://www.imdb.com/title/tt0089913/
Sunshine	drama, history, romance, war	1999	István Szabó	7.3	181	http://www.imdb.com/title/tt0145503/
Varian's War	drama, war	2001	Lionel Chetwynd	6.3	121	http://www.imdb.com/title/tt0245540/
The Broken Tower	biography, drama, history, war	2011	James Franco	4.9	99	http://www.imdb.com/title/tt1756791/
Mrs Henderson Presents	comedy, drama, music, war	2005	Stephen Frears	7	103	http://www.imdb.com/title/tt0413015/
The Tiger and the Snow	comedy, drama, romance, war	2005	Roberto Benigni	6.9	114	http://www.imdb.com/title/tt0419198/
Essential Killing	thriller, war	2010	Jerzy Skolimowski	6.1	83	http://www.imdb.com/title/tt1561768/
The Warrior	action, drama, history, war	2001	Sung-su Kim	7.2	158	http://www.imdb.com/title/tt0275083/
Fortress of War	drama, action, war, history	2010	Aleksandr Kott	7.3	138	http://www.imdb.com/title/tt1343703/
La Rafle	drama, history, war	2010	Rose Bosch	6.8	115	http://www.imdb.com/title/tt1382725/
