Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
Ladybugs	1992	Sidney J. Furie	4.7	90	http://www.imdb.com/title/tt0104670/
Bobby Jones: Stroke of Genius	2004	Rowdy Herrington	6.4	120	http://www.imdb.com/title/tt0375104/
Gracie	2007	Davis Guggenheim	6.1	95	http://www.imdb.com/title/tt0441007/
Game 6	2005	Michael Hoffman	5.8	87	http://www.imdb.com/title/tt0425055/
Jump In!	2007	Paul Hoen	5.1	85	http://www.imdb.com/title/tt0805559/
The Hammer	2007	Charles Herman-Wurmfeld	7.1	88	http://www.imdb.com/title/tt0814130/
Without Limits	1998	Robert Towne	6.9	117	http://www.imdb.com/title/tt0119934/
The Mighty Macs	2009	Tim Chambers	6	99	http://www.imdb.com/title/tt1034324/
Dynamo	2014				http://www.imdb.com/title/tt2494326/
Playing for Keeps	2012	Gabriele Muccino	5.5	105	http://www.imdb.com/title/tt1540128/
Happy Gilmore	1996	Dennis Dugan	6.9	92	http://www.imdb.com/title/tt0116483/
The Wrestler	2008	Darren Aronofsky	8	109	http://www.imdb.com/title/tt1125849/
Bend It Like Beckham	2002	Gurinder Chadha	6.7	112	http://www.imdb.com/title/tt0286499/
Jerry Maguire	1996	Cameron Crowe	7.2	139	http://www.imdb.com/title/tt0116695/
Home Run	2013	David Boyd	6.8		http://www.imdb.com/title/tt2051894/
Counterpunch	2013	Kenneth Castillo	4.5	97	http://www.imdb.com/title/tt2051850/
Drift	2013	Ben Nott, Morgan O'Neill	5.4		http://www.imdb.com/title/tt1714833/
Crooked Arrows	2012	Steve Rash	5.1	105	http://www.imdb.com/title/tt1954352/
A Warrior's Heart	2011	Mike Sears	4.7	86	http://www.imdb.com/title/tt1341340/
United	2011	James Strong	7.2	90	http://www.imdb.com/title/tt1777034/
The Philly Kid	2012	Jason Connery	5.2	90	http://www.imdb.com/title/tt1937506/
Seven Days in Utopia	2011	Matthew Dean Russell	5.5		http://www.imdb.com/title/tt1699147/
Fast Girls	2012	Regan Hall	5.7	91	http://www.imdb.com/title/tt1700808/
Ice Castles	2010	Donald Wrye	5.7	95	http://www.imdb.com/title/tt1411276/
Madison	2005	William Bindley	6.2	94	http://www.imdb.com/title/tt0206113/
Balls Out: Gary the Tennis Coach	2009	Danny Leiner	5.4	92	http://www.imdb.com/title/tt0787470/
Will	2011	Ellen Perry	6.5	102	http://www.imdb.com/title/tt1636844/
Going to the Mat	2004	Stuart Gillard	7	120	http://www.imdb.com/title/tt0399104/
Backwards	2012	Ben Hickernell	4.8	89	http://www.imdb.com/title/tt2005153/
Hurricane Season	2009	Tim Story	6.3		http://www.imdb.com/title/tt1172998/
Looking for Eric	2009	Ken Loach	7.1	116	http://www.imdb.com/title/tt1242545/
The 5th Quarter	2010	Rick Bieber	5.2	90	http://www.imdb.com/title/tt1130964/
Division III: Football's Finest	2011	Marshall Cook	5.2	98	http://www.imdb.com/title/tt1562849/
