Title	Year	Directors	IMDb Rating	Runtime (mins)	URL
Arsenal - Arsène's Eleven	2007		5.8	78	http://www.imdb.com/title/tt1356514/
Return2Sender	2005	Peter Mortimer	5.4	90	http://www.imdb.com/title/tt0483993/
Nowhere Johnny	2012	Vijet D. Teng		85	http://www.imdb.com/title/tt2507176/
HSBC Champions WGC Official Film	2009	Cathy Jones			http://www.imdb.com/title/tt1845229/
Find	2010	Mark Huskisson			http://www.imdb.com/title/tt1787697/
Extreme Surfing	1992	Warren Miller	5.2	46	http://www.imdb.com/title/tt0475580/
Road to London: Reid Coolsaet	2012	Paul Trebilcock			http://www.imdb.com/title/tt2291256/
Pittsburgh Passion	2008	Jennifer Yee		48	http://www.imdb.com/title/tt1313878/
Curse of Good	2012	Brandon Ransbottom		89	http://www.imdb.com/title/tt2123923/
A Day on the Force: Women's Professional Tackle Football	2004	Ronit Bezalel, Laurie Little	1.4	60	http://www.imdb.com/title/tt0407715/
Home Run: Baseball in the Movies	1994	Susan F. Walker			http://www.imdb.com/title/tt0142374/
For the Title	2005	Josh Long	5.3	90	http://www.imdb.com/title/tt0769515/
Indulgence: 1000 Miles Under the Colorado Sky	2007	Brennan Galloway, Alex Nichols	5.2	45	http://www.imdb.com/title/tt1552062/
Mania	2008	Dan Schaefer	7.2	120	http://www.imdb.com/title/tt1326160/
Distance Runners	2009	Robert Vicencio	1.9	95	http://www.imdb.com/title/tt1205476/
Mike Tyson vs. Steve Zouski	1986				http://www.imdb.com/title/tt2281359/
There's Something About McConkey	2000				http://www.imdb.com/title/tt2188929/
Free	2011	Timothy Schweitzer		76	http://www.imdb.com/title/tt2296771/
Arsenal End of Season Review 2010/11	2011			131	http://www.imdb.com/title/tt2273074/
Fornicritters	2010	Burt Gross, Keith Michael		60	http://www.imdb.com/title/tt2327462/
Michael Moorer	2011			100	http://www.imdb.com/title/tt1906427/
Semper Ride	2009	Dirk Collins			http://www.imdb.com/title/tt2066058/
Bluegrass Kingdom: The Gospel of Kentucky Basketball	2013	Michael Tolajian		46	http://www.imdb.com/title/tt2845432/
Playbyplaymen and the Art of the Perfect Call	2007	Ziad H. Hamzeh	6.6	76	http://www.imdb.com/title/tt1077259/
Four Dimensions	2009	Peter Svensson	6.2		http://www.imdb.com/title/tt1534023/
Sidecar: The Race 2 Road America	2008	Jeremy Major		54	http://www.imdb.com/title/tt1329436/
Kid Gloves 2013	2013	Adam Simcox		80	http://www.imdb.com/title/tt2711518/
Roy Jones, Jr.: Heart of a Champion	2005	Devaughn Hughson	6.3	112	http://www.imdb.com/title/tt1706618/
Racing Colors	1976	Stephen Iadereste		90	http://www.imdb.com/title/tt0256295/
Down Days	2008	Sky Pinnick		60	http://www.imdb.com/title/tt2053353/
The 2010 General Tire Mint 400	2011	The Martelli Brothers, The Martelli Brothers			http://www.imdb.com/title/tt1941687/
The Sun Ship Game	1971	Robert Drew		83	http://www.imdb.com/title/tt2012091/
Kallang Roar the Movie	2008	Cheng Ding An			http://www.imdb.com/title/tt2385900/
Red Asphalt	2010	Joel Jutagir			http://www.imdb.com/title/tt2125595/
My Eyes Won't Dry	2005	Brian Conley			http://www.imdb.com/title/tt2814862/
Gymnocide	2009	Stephanie Wuertz		4	http://www.imdb.com/title/tt1478387/
Wimbledon 2012 Official Film	2012	Cathy Jones			http://www.imdb.com/title/tt2501994/
I'm a Top Prospect	2011	Gary Ravet			http://www.imdb.com/title/tt2145745/
The Speed Odyssey	2008	Robert Nevison		94	http://www.imdb.com/title/tt1331328/
American Surf Design	2010	Benjamin Scott		6	http://www.imdb.com/title/tt1635413/
Mac Foster vs. Jerry Quarry	1970				http://www.imdb.com/title/tt2338546/
Rock the 40oz 2	2008	Christopher C. Fisher		124	http://www.imdb.com/title/tt1866236/
No Guts, No Glory	1989	Steve Munro			http://www.imdb.com/title/tt1675178/
When the Final Whistle Blows	2013	Jose H. Garofalo		90	http://www.imdb.com/title/tt2343823/
Shuttlecock	2013	Vincent Pearase		108	http://www.imdb.com/title/tt2798968/
Touching the Game, Alaska	2009	Jim Carroll		100	http://www.imdb.com/title/tt1440357/
Rocket Dreams	2002	Craig Caryl			http://www.imdb.com/title/tt0795453/
Beyond Grass	2010	Chris Rose		20	http://www.imdb.com/title/tt1517159/
Stompin' Stu: The Story of BMX Legend Stu Thomsen	2009	John Swarr			http://www.imdb.com/title/tt2425476/
Winter in Peru: A Visual Ode to the Waves of Peru	2008			50	http://www.imdb.com/title/tt1338707/
Arsenal Robin Van Persie 100 Goals	2011			116	http://www.imdb.com/title/tt2272700/
LA Underground	2012	Peter Leon	3.3	50	http://www.imdb.com/title/tt2378986/
McGilvray: The Game is Not the Same	1985	Bill Phillips	3.6	90	http://www.imdb.com/title/tt1972710/
The Revolution	2006	Nick Brocha, Adam Burtle		80	http://www.imdb.com/title/tt1071233/
Great Wimbledon Rivalries	2003	Cathy Jones	5.1	52	http://www.imdb.com/title/tt1842372/
Jock: The Jock Stein Story	1992	Graeme Moore			http://www.imdb.com/title/tt2023543/
Not Guilty	2002	Dave Haderlien		60	http://www.imdb.com/title/tt1990295/
Out of the Pond	2009	Chris Heffner			http://www.imdb.com/title/tt2066035/
My Eyes Won't Dry 2: Tube Vision	2010	Brian Conley			http://www.imdb.com/title/tt2814840/
Pro Wrestling's Ultimate Insiders Vol 2	2005	Miles Long			http://www.imdb.com/title/tt2793322/
Downhill: The Bill Johnson Story	2010	Zeke Piestrup			http://www.imdb.com/title/tt2214985/
Oceanside	2012	Josh Wolk		70	http://www.imdb.com/title/tt2705544/
Wheelies	2002	Drew Umland		90	http://www.imdb.com/title/tt1826949/
Sight Sound	2011	Mikey DeTemple			http://www.imdb.com/title/tt2552630/
Consolidated Goin' Bananas	2007	Jim LaLonde			http://www.imdb.com/title/tt2323503/
Belly Dance School: Beginners Class with Cara	2007	Eddie Haselden		95	http://www.imdb.com/title/tt1815610/
Unspoken Rules	2009	Michael Hamilton			http://www.imdb.com/title/tt2100678/
Record Breakers	2005	Cathy Jones	5.2	52	http://www.imdb.com/title/tt1842451/
Martina: Farewell to a Champion	1994	Cathy Jones	5.1	52	http://www.imdb.com/title/tt1817211/
