Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Eight Legged Freaks	action, comedy, horror, sci_fi, thriller	2002	Ellory Elkayem	5.4	99	http://www.imdb.com/title/tt0271367/
Warm Bodies	comedy, horror, romance	2013	Jonathan Levine	7	98	http://www.imdb.com/title/tt1588173/
Ek Thi Daayan	horror, romance, thriller	2013	Kannan Iyer	5.7		http://www.imdb.com/title/tt2406676/
Interview with the Vampire: The Vampire Chronicles	horror, romance	1994	Neil Jordan	7.5	123	http://www.imdb.com/title/tt0110148/
Zombieland	adventure, comedy, horror	2013	Eli Craig	5.7		http://www.imdb.com/title/tt2090440/
V/H/S	horror	2012	Matt Bettinelli-Olpin, David Bruckner	5.7	116	http://www.imdb.com/title/tt2105044/
Evil Dead II	comedy, fantasy, horror	1987	Sam Raimi	7.8	84	http://www.imdb.com/title/tt0092991/
Carrie	horror, thriller	1976	Brian De Palma	7.4	98	http://www.imdb.com/title/tt0074285/
The Descent	adventure, horror	2005	Neil Marshall	7.3	99	http://www.imdb.com/title/tt0435625/
Poltergeist	horror	1982	Tobe Hooper	7.4	114	http://www.imdb.com/title/tt0084516/
Smiley	horror	2012	Michael J. Gallagher	3.5	90	http://www.imdb.com/title/tt2025667/
Grave Encounters	horror	2011	The Vicious Brothers	6	92	http://www.imdb.com/title/tt1703199/
Event Horizon	horror, sci_fi	1997	Paul Anderson	6.6	96	http://www.imdb.com/title/tt0119081/
Paranormal Activity 3	horror	2011	Henry Joost, Ariel Schulman	5.9	83	http://www.imdb.com/title/tt1778304/
The Devil Inside	horror	2012	William Brent Bell	4	83	http://www.imdb.com/title/tt1560985/
Hellraiser	horror	1987	Clive Barker	7	94	http://www.imdb.com/title/tt0093177/
The Blair Witch Project	horror, mystery	1999	Daniel Myrick, Eduardo Sanchez	6.3	81	http://www.imdb.com/title/tt0185937/
Black Death	action, drama, horror, mystery	2010	Christopher Smith	6.4	102	http://www.imdb.com/title/tt1181791/
Teeth	comedy, horror, thriller	2007	Mitchell Lichtenstein	5.6	94	http://www.imdb.com/title/tt0780622/
Soylent Green	mystery, sci_fi, thriller	1973	Richard Fleischer	7	97	http://www.imdb.com/title/tt0070723/
Jeepers Creepers	horror, mystery	2001	Victor Salva	5.9	90	http://www.imdb.com/title/tt0263488/
Apartment 143	horror, thriller	2011	Carles Torrens	5.1	80	http://www.imdb.com/title/tt1757742/
Let the Right One In	drama, horror	2008	Tomas Alfredson	8	115	http://www.imdb.com/title/tt1139797/
The Host	action, horror, sci_fi, thriller	2006	Joon-ho Bong	7	119	http://www.imdb.com/title/tt0468492/
Children of the Corn	horror	1984	Fritz Kiersch	5.4	92	http://www.imdb.com/title/tt0087050/
Species	action, horror, sci_fi	1995	Roger Donaldson	5.7	108	http://www.imdb.com/title/tt0114508/
Night of the Templar	action, comedy, drama, history, horror, mystery, sci_fi, thriller	2012	Paul Sampson	3.1	101	http://www.imdb.com/title/tt0768222/
Zombie Apocalypse	action, horror, sci_fi	2011	Nick Lyon	4	87	http://www.imdb.com/title/tt1876547/
The Thompsons	drama, horror, thriller	2012	The Butcher Brothers, The Bucher Brothers	4.3	82	http://www.imdb.com/title/tt1831806/
The Clinic	crime, horror, mystery, thriller	2010	James Rabbitts	5.3	94	http://www.imdb.com/title/tt1345772/
The Haunting	fantasy, horror, mystery, thriller	1999	Jan de Bont	4.7	113	http://www.imdb.com/title/tt0171363/
