Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
The Back-up Plan	comedy, romance	2010	Alan Poul	4.9	106	http://www.imdb.com/title/tt1212436/
Never Let Me Go	drama, fantasy, romance, sci_fi	2010	Mark Romanek	7.1	103	http://www.imdb.com/title/tt1334260/
The Last of the Mohicans	action, adventure, romance, war	1992	Michael Mann	7.7	112	http://www.imdb.com/title/tt0104691/
The Wrestler	drama, romance, sport	2008	Darren Aronofsky	8	109	http://www.imdb.com/title/tt1125849/
Bend It Like Beckham	comedy, drama, romance, sport	2002	Gurinder Chadha	6.7	112	http://www.imdb.com/title/tt0286499/
One for the Money	action, comedy, crime, romance, thriller	2012	Julie Anne Robinson	5.1	91	http://www.imdb.com/title/tt1598828/
Hemingway & Gellhorn	biography, drama, romance	2012	Philip Kaufman	6.1	155	http://www.imdb.com/title/tt0423455/
Legally Blonde	comedy, romance	2001	Robert Luketic	6.1	96	http://www.imdb.com/title/tt0250494/
Tombstone	action, drama, history, romance, western	1993	George P. Cosmatos	7.7	130	http://www.imdb.com/title/tt0108358/
Charlie St. Cloud	drama, fantasy, romance	2010	Burr Steers	6.1	99	http://www.imdb.com/title/tt1438254/
Ghost	drama, fantasy, mystery, romance, thriller	1990	Jerry Zucker	6.9	127	http://www.imdb.com/title/tt0099653/
The Rum Diary	comedy, drama	2011	Bruce Robinson	6.2	120	http://www.imdb.com/title/tt0376136/
Valentine's Day	comedy, romance	2010	Garry Marshall	5.7	125	http://www.imdb.com/title/tt0817230/
Interview with the Vampire: The Vampire Chronicles	horror, romance	1994	Neil Jordan	7.5	123	http://www.imdb.com/title/tt0110148/
Chasing Amy	comedy, drama, romance	1997	Kevin Smith	7.3	113	http://www.imdb.com/title/tt0118842/
Across the Universe	drama, musical, romance	2007	Julie Taymor	7.3	133	http://www.imdb.com/title/tt0445922/
A Knight's Tale	action, adventure, drama, romance	2001	Brian Helgeland	6.7	132	http://www.imdb.com/title/tt0183790/
The Princess Diaries	comedy, family, romance	2001	Garry Marshall	5.9	115	http://www.imdb.com/title/tt0247638/
Van Wilder	comedy, romance	2002	Walt Becker	6.3	92	http://www.imdb.com/title/tt0283111/
Alexander	action, adventure, biography, drama, history, romance, war	2004	Oliver Stone	5.4	175	http://www.imdb.com/title/tt0346491/
Meet the Fockers	comedy, romance	2004	Jay Roach	6.3	115	http://www.imdb.com/title/tt0290002/
Jerry Maguire	comedy, drama, romance, sport	1996	Cameron Crowe	7.2	139	http://www.imdb.com/title/tt0116695/
Zookeeper	comedy, family, romance	2011	Frank Coraci	5	102	http://www.imdb.com/title/tt1222817/
Cruel Intentions	drama, romance	1999	Roger Kumble	6.8	97	http://www.imdb.com/title/tt0139134/
Pretty in Pink	comedy, drama, romance	1986	Howard Deutch	6.6	96	http://www.imdb.com/title/tt0091790/
Hitch	comedy, romance	2005	Andy Tennant	6.6	118	http://www.imdb.com/title/tt0386588/
Peter Pan	adventure, family, fantasy, romance	2003	P.J. Hogan	6.8	113	http://www.imdb.com/title/tt0316396/
Coyote Ugly	comedy, drama, romance, music	2000	David McNally	5.4	100	http://www.imdb.com/title/tt0200550/
Revolutionary Road	drama, romance	2008	Sam Mendes	7.4	119	http://www.imdb.com/title/tt0959337/
Hercules	animation, adventure, family, fantasy, musical, romance	1997	Ron Clements, John Musker	7	93	http://www.imdb.com/title/tt0119282/
Vicky Cristina Barcelona	drama, romance	2008	Woody Allen	7.2	96	http://www.imdb.com/title/tt0497465/
Elf	comedy, family, fantasy, romance	2003	Jon Favreau	6.8	97	http://www.imdb.com/title/tt0319343/
The Switch	comedy, drama, romance	2010	Josh Gordon, Will Speck	5.9	101	http://www.imdb.com/title/tt0889573/
Good Luck Chuck	comedy, drama, fantasy, romance	2007	Mark Helfrich	5.5	96	http://www.imdb.com/title/tt0452625/
Big	comedy, drama, fantasy, romance	1988	Penny Marshall	7.2	104	http://www.imdb.com/title/tt0094737/
The Reader	drama, romance	2008	Stephen Daldry	7.6	124	http://www.imdb.com/title/tt0976051/
The Princess and the Frog	animation, family, fantasy, musical, romance	2009	Ron Clements, John Musker	7.1	97	http://www.imdb.com/title/tt0780521/
What's Your Number?	comedy, romance	2011	Mark Mylod	5.8	106	http://www.imdb.com/title/tt0770703/
Walking with the Enemy	action, drama, history, romance, war	2013	Mark Schmidt			http://www.imdb.com/title/tt1515208/
American Pie 2	comedy, romance	2001	J.B. Rogers	6.3	108	http://www.imdb.com/title/tt0252866/
13 Going on 30	comedy, fantasy, romance	2004	Gary Winick	6	98	http://www.imdb.com/title/tt0337563/
Mr. Nobody	drama, fantasy, romance, sci_fi	2009	Jaco Van Dormael	7.8	141	http://www.imdb.com/title/tt0485947/
Take Me Home Tonight	comedy, drama, romance	2011	Michael Dowse	6.3	97	http://www.imdb.com/title/tt0810922/
As Good as It Gets	comedy, drama, romance	1997	James L. Brooks	7.7	139	http://www.imdb.com/title/tt0119822/
Step Up	crime, drama, music, romance	2006	Anne Fletcher	6.2	104	http://www.imdb.com/title/tt0462590/
Sense and Sensibility	drama, romance	1995	Ang Lee	7.6	136	http://www.imdb.com/title/tt0114388/
The Count of Monte Cristo	action, adventure, drama, history, romance, thriller	2002	Kevin Reynolds	7.6	131	http://www.imdb.com/title/tt0245844/
Eat Pray Love	drama, romance	2010	Ryan Murphy	5.4	133	http://www.imdb.com/title/tt0879870/
The Phantom of the Opera	drama, musical, romance, thriller	2004	Joel Schumacher	7.2	143	http://www.imdb.com/title/tt0293508/
Fast Times at Ridgemont High	comedy, drama, romance	1982	Amy Heckerling	7.2	90	http://www.imdb.com/title/tt0083929/
You Again	comedy, romance	2010	Andy Fickman	5.6	105	http://www.imdb.com/title/tt1414382/
Mr. & Mrs. Smith	action, comedy, romance	2005	Doug Liman	6.4	120	http://www.imdb.com/title/tt0356910/
27 Dresses	comedy, romance	2008	Anne Fletcher	6	111	http://www.imdb.com/title/tt0988595/
All Good Things	crime, drama, mystery, romance, thriller	2010	Andrew Jarecki	6.3	101	http://www.imdb.com/title/tt1175709/
Memoirs of a Geisha	drama, romance	2005	Rob Marshall	7.2	145	http://www.imdb.com/title/tt0397535/
Robin Hood: Prince of Thieves	action, adventure, drama, romance	1991	Kevin Reynolds	6.8	143	http://www.imdb.com/title/tt0102798/
Willow	action, adventure, drama, fantasy, romance	1988	Ron Howard	7.1	126	http://www.imdb.com/title/tt0096446/
Holes	adventure, comedy, drama, family, mystery, romance	2003	Andrew Davis	7	117	http://www.imdb.com/title/tt0311289/
The Forbidden Kingdom	action, adventure, fantasy, romance	2008	Rob Minkoff	6.6	104	http://www.imdb.com/title/tt0865556/
Like Crazy	drama, romance	2011	Drake Doremus	6.7	90	http://www.imdb.com/title/tt1758692/
Jane Eyre	drama, romance	2011	Cary Joji Fukunaga	7.3	120	http://www.imdb.com/title/tt1229822/
Stranger Than Fiction	comedy, drama, fantasy, romance	2006	Marc Forster	7.7	113	http://www.imdb.com/title/tt0420223/
