Title	Genres	Year	Directors	IMDb Rating	Runtime (mins)	URL
Shanghai Knights	action, adventure, comedy, western	2003	David Dobkin	6.1	114	http://www.imdb.com/title/tt0300471/
Maverick	action, adventure, comedy, thriller, western	1994	Richard Donner	6.9	127	http://www.imdb.com/title/tt0110478/
Blazing Saddles	comedy, western	1974	Mel Brooks	7.7	93	http://www.imdb.com/title/tt0071230/
Tombstone	action, drama, history, romance, western	1993	George P. Cosmatos	7.7	130	http://www.imdb.com/title/tt0108358/
Legends of the Fall	drama, romance, war, western	1994	Edward Zwick	7.3	133	http://www.imdb.com/title/tt0110322/
The Mask of Zorro	action, adventure, romance, western	1998	Martin Campbell	6.7	136	http://www.imdb.com/title/tt0120746/
The Assassination of Jesse James by the Coward Robert Ford	biography, crime, drama, history, western	2007	Andrew Dominik	7.6	160	http://www.imdb.com/title/tt0443680/
Dances with Wolves	adventure, drama, western	1990	Kevin Costner	8	181	http://www.imdb.com/title/tt0099348/
Once Upon a Time in the West	adventure, western	1968	Sergio Leone	8.7	175	http://www.imdb.com/title/tt0064116/
Back to the Future Part III	adventure, comedy, sci_fi, western	1990	Robert Zemeckis	7.3	118	http://www.imdb.com/title/tt0099088/
Zorro: The Gay Blade	action, adventure, comedy, romance, western	1981	Peter Medak	5.6	93	http://www.imdb.com/title/tt0083366/
Young Guns II	adventure, western	1990	Geoff Murphy	6.1	104	http://www.imdb.com/title/tt0100994/
Wyatt Earp	action, adventure, biography, romance, western	1994	Lawrence Kasdan	6.5	191	http://www.imdb.com/title/tt0111756/
Young Guns	action, crime, drama, thriller, western	1988	Christopher Cain	6.6	107	http://www.imdb.com/title/tt0096487/
¡Three Amigos!	adventure, comedy, western	1986	John Landis	6.2	104	http://www.imdb.com/title/tt0092086/
Wild Wild West	action, western, comedy, sci_fi	1999	Barry Sonnenfeld	4.6	106	http://www.imdb.com/title/tt0120891/
The Big Valley	western	1965		7.7	60	http://www.imdb.com/title/tt0058791/
Gallowwalkers	action, fantasy, horror, thriller, western	2012	Andrew Goth	6.2	90	http://www.imdb.com/title/tt0829176/
Alien Showdown: The Day the Old West Stood Still	action, adventure, horror, sci_fi, western	2013	Rene Perez	2.1	80	http://www.imdb.com/title/tt2349142/
The High Chaparral	western	1967		7.7	60	http://www.imdb.com/title/tt0061263/
Goodnight for Justice: Queen of Hearts	western	2013	Martin Wood	5.3		http://www.imdb.com/title/tt2007388/
Dawn Rider	western	2012	Terry Miles	4.5	94	http://www.imdb.com/title/tt2014202/
The Virginian	western	1962		7.6	75	http://www.imdb.com/title/tt0055710/
Six Gun Savior	action, adventure, drama, sci_fi, western	2013	Kirk Murray			http://www.imdb.com/title/tt2027215/
Stagecoach	action, drama, western	1986	Ted Post	5.9	100	http://www.imdb.com/title/tt0092003/
Love's Everlasting Courage	western	2011	Bradford May	5.8		http://www.imdb.com/title/tt1672621/
Daniel Boone	adventure, history, western	1964	Nathan Juran, George Marshall	7.4	60	http://www.imdb.com/title/tt0057742/
Shadow on the Mesa	western	2013	David S. Cass Sr.	6.1		http://www.imdb.com/title/tt2195666/
Our Wild Hearts	family, western	2013	Rick Schroder	5.4		http://www.imdb.com/title/tt1838735/
Hannah's Law	western	2012	Rachel Talalay	4.8	88	http://www.imdb.com/title/tt2082289/
Good for Nothing	western	2011	Mike Wallis	5.3	92	http://www.imdb.com/title/tt1783285/
The Life and Times of Grizzly Adams	adventure, family, western	1977		7.1	60	http://www.imdb.com/title/tt0075525/
Houston: The Legend of Texas	biography, drama, history, war, western	1986	Peter Levin	7	144	http://www.imdb.com/title/tt0091224/
The Way of the West	drama, western	2011	Wyeth Clarkson	4.5	81	http://www.imdb.com/title/tt1591496/
Alias Smith and Jones	comedy, western	1971	Bruce Wilson	7.4	60	http://www.imdb.com/title/tt0066625/
Sweet Vengeance	western	2013	Logan Miller	5.5	95	http://www.imdb.com/title/tt2224004/
The Last Days of Frank and Jesse James	western	1986	William A. Graham	6.4	120	http://www.imdb.com/title/tt0091382/
Return of the Gunfighter	romance, western	1967	James Neilson	6.2	98	http://www.imdb.com/title/tt0062194/
The Man Who Came Back	action, drama, western	2008	Glen Pitre	4.9	112	http://www.imdb.com/title/tt1013651/
Goodnight for Justice	western	2011	Jason Priestley	5.5	88	http://www.imdb.com/title/tt1716743/
The Last Rites of Ransom Pride	adventure, drama, thriller, western	2010	Tiller Russell	4.2		http://www.imdb.com/title/tt1268970/
Yellow Rock	western	2011	Nick Vallelonga	4.1	89	http://www.imdb.com/title/tt1714176/
Wild Boys	adventure, drama, western	2011		7	60	http://www.imdb.com/title/tt1865572/
Buffalo Rider	adventure, drama, western	1978	John Fabian, Dick Robinson	4.4	90	http://www.imdb.com/title/tt0198346/
F Troop	comedy, war, western	1965		7.3	30	http://www.imdb.com/title/tt0058800/
When the Storm God Rides	western	2014	Michael Preece			http://www.imdb.com/title/tt2723790/
The Shooter	western	1997	Ed Raymond	4.8	91	http://www.imdb.com/title/tt0120121/
Pistols 'n' Petticoats	comedy, western	1966		7.2	30	http://www.imdb.com/title/tt0060016/
Rose Hill	western	1997	Christopher Cain	6.4	99	http://www.imdb.com/title/tt0117515/
Heathens and Thieves	mystery, thriller, western	2012	Megan Peterson, John Douglas Sinclair	4.3		http://www.imdb.com/title/tt1510983/
Eldorado	comedy, horror, musical, western	2012	Richard Driscoll	2.1	94	http://www.imdb.com/title/tt1514043/
Here Come the Brides	adventure, western, comedy	1968		7	60	http://www.imdb.com/title/tt0062569/
Snowy River: The McGregor Saga	drama, western	1993		6.7	60	http://www.imdb.com/title/tt0106136/
Streets of Laredo	drama, western	1995	Joseph Sargent	7.2	300	http://www.imdb.com/title/tt0112041/
Palo Pinto Gold	western	2009	Anthony Henslee	3.8	105	http://www.imdb.com/title/tt1152835/
Dead Man's Burden	drama, western	2012	Jared Moshe	4.8	93	http://www.imdb.com/title/tt2094155/
The Magnificent Seven	western	1998	Christopher Cain	7.2	60	http://www.imdb.com/title/tt0129695/
Return to Lonesome Dove	drama, western	1993	Mike Robe	7	322	http://www.imdb.com/title/tt0106112/
Zorro	adventure, family, romance, western	1990		6.6	30	http://www.imdb.com/title/tt0098957/
Dream Wagon	action, western	2013	Asad Farr		97	http://www.imdb.com/title/tt1828172/
The Sixth Gun	sci_fi, western	2013	Jeffrey Reiner		60	http://www.imdb.com/title/tt2655456/
September Dawn	drama, history, western	2007	Christopher Cain	5.5	111	http://www.imdb.com/title/tt0473700/
The Apple Dumpling Gang Rides Again	family, comedy, western	1979	Vincent McEveety	5.5	88	http://www.imdb.com/title/tt0078790/
Bad Company	drama, western	1972	Robert Benton	7	93	http://www.imdb.com/title/tt0068245/
The Hunting Party	drama, western, action	1971	Don Medford	5.9	111	http://www.imdb.com/title/tt0067224/
The Big Gundown	western	1966	Sergio Sollima	7.2	110	http://www.imdb.com/title/tt0063501/
Navajo Joe	western	1966	Sergio Corbucci	6.2	93	http://www.imdb.com/title/tt0061587/
Custer of the West	biography, drama, history, war, western	1967	Robert Siodmak	5.6	140	http://www.imdb.com/title/tt0062844/
Django Kill... If You Live, Shoot!	horror, western	1967	Giulio Questi	6.4	100	http://www.imdb.com/title/tt0062082/
Bandolero!	action, crime, drama, romance, western	1968	Andrew V. McLaglen	6.4	106	http://www.imdb.com/title/tt0062708/
100 Rifles	adventure, war, western	1969	Tom Gries	5.8	110	http://www.imdb.com/title/tt0063970/
Grey Owl	biography, drama, western	1999	Richard Attenborough	5.8	118	http://www.imdb.com/title/tt0128239/
